datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2015-09-01 11:02:30-03"	ANSP	ANSP-ICHTHYOLOGY	179554	"Phractocephalus hemioliopterus"	S	Animalia	Chordata	Actinopteri	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus			"J.G. Lundberg, 1994"						MWW-94-026	"M.W. Westneat, J.G. Lundberg, et al."							Brazil	Amazonas		"Rio Amazonas (Atlantic O. Dr.), above mouth of Rio Madeira."	-58.850134	-3.312859										"cast net [0 alc; 2 sk; 0 c&s]"	2	"Green tags 9&13"			"Location Remarks: Calhamazon Collection. White river type."	ANSP179554
"2015-09-01 11:02:30-03"	ANSP	ANSP-ICHTHYOLOGY	179559	"Phractocephalus hemioliopterus"	S	Animalia	Chordata	Actinopteri	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus			"J.G. Lundberg, 1994"						AMZ-94-076	"A.M. Zanata, J.G. Lundberg, et al."							Brazil	Para		"Rio Amazonas below mouth of Rio Xingu, 18 km downriver of Porto de Moz."	-52.177987	-1.628868							4.4	9.8		"bottom trawl [0 alc; 1 sk; 0 c&s]"	1	"orange tag 56"			"Location Remarks: Calhamazon Collection."	ANSP179559
"2015-09-01 11:02:30-03"	ANSP	ANSP-ICHTHYOLOGY	197003	"Phractocephalus hemioliopterus"	S	Animalia	Chordata	Actinopteri	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus			"M.H. Sabaj, 2014"						iXIN14-EXP2-43	"M.H. Sabaj Pérez, L. Rapp Py-Daniel, R. Ribeiro de Oliveira, M. Arce, A.P. Gonçalves, D.B. Fitzgerald, R. Robles, D.R.G. Ribeiro & fishermen D. Rodrigues da Costa (Ronca), N. da Silva Balao (Nelson), R. Costa Silva (Quinha) & A. Silva de Oliveira (Tonho)."							Brazil	Pará	Altamira	"rio Xingu (middle Volta Grande), off left bank, ca. 54 km southeast of Altamira."	-51.856167	-3.552972										"gill nets, trot-line [1 alc; 0 sk; 0 c&s]"	1	"ex. INPA uncat."			"Identif.Remarks: tissue samples: t2516 or t2517 (ANSP), t2515 (INPA, sk), t2516 or t2517 (INPA)."	ANSP197003
"2015-09-01 11:02:30-03"	ANSP	ANSP-ICHTHYOLOGY	197129	"Phractocephalus hemioliopterus"	S	Animalia	Chordata	Actinopteri	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus									EX-DU-F1172	"J.G. Lundberg"											0	0										"[0 alc; 1 sk; 0 c&s]"	1	"ex. DU F-1172"			"Identif.Remarks: partial disarticulated skeleton"	ANSP197129
"2015-09-01 11:02:30-03"	ANSP	ANSP-ICHTHYOLOGY	198243	"Phractocephalus hemioliopterus"	S	Animalia	Chordata	Actinopteri	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus			"M.H. Sabaj, 2015"						iXIN14-EXP3-37	"M.H. Sabaj Pérez, L.M. Sousa, A.P. Gonçalves, D.B. Fitzgerald, V. Machado, P.M. Ito, A. Oliveira, H. Gimênes Jr., M. Hardman, J. Tiemann, K.S. Cummings, M.C. Dreher Mansur & fishermen"							Brazil	Pará		"rio Xingu, central channel ca. 4.4 km upstream of campsite 3."	-51.711694	-3.415083										"trot line [0 alc; 1 sk; 0 c&s]"	1	"ex. INPA"			"Identif.Remarks: tissue sample: t3442 (ANSP voucher, skeletal specimen) Location Remarks: trot line; iXingu Project (NSF DEB-1257813) Expedition 3, Outing 2."	ANSP198243
"2015-09-01 11:02:30-03"	ANSP	ANSP-ICHTHYOLOGY	198902	"Phractocephalus hemioliopterus"	S	Animalia	Chordata	Actinopteri	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus			"M.H. Sabaj, 2015"						"VEN 15-00C"	"M.H. Sabaj, M. Bernt, O. Castillo"							Venezuela	Apure		"río Apure, purchased at roadside fish market (Av. Perimetral), San Fernando de Apure."	-67.473611	7.900528										"[1 alc; 0 sk; 0 c&s]"	1				"Identif.Remarks: tissue sample: t4882 Location Remarks: coordinates are for bridge at San Fernando de Apure"	ANSP198902
"2015-09-01 11:02:30-03"	ANSP	ANSP-ICHTHYOLOGY	199701	"Phractocephalus hemioliopterus"	S	Animalia	Chordata	Actinopteri	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus			"M.H. Sabaj, 2012"						BR12-09	"M.H. Sabaj, M. Arce, L. Sousa and ornamental fishermen Dani & Edson"							Brazil	Pará		"rio Xingu (Volta Grande), Praia do Caju and rock outcrops upstream of Cachoeira do Jericoá, ca. 55 km east-southeast of Altamira"	-51.7365	-3.382139										"hand-picking [0 alc; 1 sk; 0 c&s]"	1	"ex. INPA"			"Identif.Remarks: found dead on beach."	ANSP199701
"2015-09-01 11:02:30-03"	ANSP	ANSP-ICHTHYOLOGY	21927	"Phractocephalus hemioliopterus"	S	Animalia	Chordata	Actinopteri	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus			H.W.Fowler						JO77-PA	"Prof. James Orton"	1877						Peru			"Peruvian Amazon."	0	0										"[1 alc; 0 sk; 0 c&s]"	1				"Location Remarks: E.D. Cope collection. Georef.Remarks: More information needed"	ANSP021927
"2015-09-01 11:02:30-03"	ANSP	ANSP-ICHTHYOLOGY	8348	"Phractocephalus hemioliopterus"	S	Animalia	Chordata	Actinopteri	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus			"E.D. Cope"						RP-MRN	"Robert Perkins (of Wilmington, Delaware)"							Brazil/Peru			"Published as ##between the mouth of the Rio Negro and the Peruvian Amazon or Ucayale River## (Cope 1872:250)."	0	0										"[1 alc; 0 sk; 0 c&s]"	1				"Identif.Remarks: found and cataloged Dec 2002. Location Remarks: E.D. Cope collection. Georef.Remarks: More information needed"	ANSP008348
"2015-09-01 11:02:31-03"	ANSP	ANSP-ICHTHYOLOGY	21490	Pimelodus	S	Animalia	Chordata	Actinopteri	Siluriformes	Pimelodidae	Pimelodus				"W.G.Saul, 1976"						JO77-PA	"Prof. James Orton"	1877						Peru			"Peruvian Amazon."	0	0										"[8 alc; 0 sk; 0 c&s]"	8	"ANSP 21490-97"			"Identif.Remarks: Original Cope label indicates ##Phractocephalus hemiliopterus, ___, 1877; Fowler label indicates ##Pimelodus maculatus...##. Location Remarks: E.D. Cope collection. Georef.Remarks: More information needed"	ANSP021490
