"genus"	"species"	"latitude"	"longitude"	"source"
"Phractocephalus"	"Phractocephalus hemioliopterus"	0.3475	-73.9461111111111	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.659279	-58.676359	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.566667	-58.583333	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.755657	-73.253144	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.207827	-64.733875	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	7.892501	-67.450914	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	8.60437	-61.78672	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.312859	-58.850134	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-1.628868	-52.177987	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.552972	-51.856167	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.415083	-51.711694	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	7.900528	-67.473611	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.382139	-51.7365	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-8.9301389	-62.0591667	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.2999999523	-58.7666664124	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-13.2333333333	-50.5833333333	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-5.2588887215	-74.3622207642	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-5.2588887215	-74.3622207642	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-2.1819444444	-54.8791666667	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.4083333333	-64.7583333333	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-2.6416666667	-56.7583333333	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-2.6416666667	-56.7583333333	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.125	-67.975	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.425	-61.3583333333	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.4083333333	-64.7583333333	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-1.875	-55.5083333333	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-4.1416666667	-63.125	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.2083333333	-60.0916666667	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.1083333333	-61.5083333333	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.1083333333	-61.5083333333	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.0916666667	-51.8916666667	"splink"
